id,hueco_cubierto,descripcion,col_material,col_medida,cant,expectativa
S01,A1 nombre VARILLA ROSCADA (alias EN),"THREADED ROD M12 X 1000, DIN 975, A4-70",A4-70,M12x1000,20,1 linea VARILLA ROSCADA / DIN 975 se conserva (fuera de tabla) / G3 / long 1000 sin unidad -> P-4
S02,A2 nombre VARILLA ROSCADA (ES),"Varilla roscada M16 x 1000, 8.8, zincada",8.8,M16x1000,15,1 linea VARILLA ROSCADA / G5 / CINCADO / sin norma -> P-5 REVISION
S03,B1 G1 via 304,"HEX BOLT DIN 933 M10x30, 304",304,M10x30,120,G1: 304 equivale a A2
S04,B2 G1 via 18-8,"Tornillo DIN 931 M12x60, 18-8",18-8,M12x60,90,G1: 18-8 equivale a A2
S05,B3 G1 via A2-70,"Tornillo DIN 933 M8x25, A2-70",A2-70,M8x25,200,G1: A2-70 equivale a A2
S06,B4 G2 (valor unico),"SCREW DIN 912 M6x20, A2-80",A2-80,M6x20,300,G2 aislado: NO equivale a A2
S07,B5 G3 via 316,"BOLT DIN 931 M20x100, 316",316,M20x100,60,G3: 316 equivale a A4-70
S08,B6 G3 via A4,"Tornillo DIN 933 M10x40, A4",A4,M10x40,80,G3
S09,B7 G5 via GRADE 5 + imperial,"HEX BOLT DIN 931 1/2"" X 2"", GRADE 5",GRADE 5,"1/2""x2""",50,G5: GRADE 5 equivale a 8.8 / imperial con longitud en pulgadas explicita
S10,B8 G6 via 10.9,"Tornillo DIN 912 M12x50, 10.9, geomet",10.9,M12x50,40,G6 / GEOMET
S11,B9 G6 via GRADE 8,"BOLT DIN 933 M16x50, GRADE 8",GRADE 8,M16x50,70,G6: GRADE 8 equivale a 10.9
S12,B10 G6 via GRADO 8 (ES),"Tornillo DIN 931 M14x70, GRADO 8, pavonado",GRADO 8,M14x70,35,G6 en espanol / PAVONADO. Nota: GRADO 5/8 estan en la tabla de grupos pero NO en la lista de valores de §5
S13,B11 G8 en tuerca (correcto),"NUT DIN 934 M20, 8",8,M20,250,G8 valido: '8' solo aplica a tuercas
S14,B12 G9 en tuerca (correcto),"Tuerca DIN 934 M16, 10",10,M16,180,G9 valido en tuerca
S15,B13 G13 en arandela,"WASHER DIN 125 M12, 200HV",200HV,M12,400,G13 / arandela sin longitud = correcto
S16,B14 G10 + DIN 9021,"Arandela DIN 9021 M10, 100HV, cincada",100HV,M10,350,G10 / DIN 9021 -> ISO 7093 / CINCADO
S17,B15 G11 + DIN 440,"WASHER DIN 440 M16, 140HV",140HV,M16,200,G11 / DIN 440 -> ISO 7094
S18,B16 G14 + DIN 125 A,"Arandela DIN 125 A M8, 300HV",300HV,M8,500,G14 / variante 'DIN 125 A' -> ISO 7089
S19,B17 G12 + norma ya en ISO,"Arandela ISO 7093 M10, 160HV",160HV,M10,300,G12 / la norma llega YA normalizada: se acepta tal cual (§8 lista ISO como formato esperable)
S20,C1 calidad 8 en TORNILLO,"BOLT DIN 931 M16x60, 8",8,M16x60,100,INCOHERENCIA: '8' solo aplica a tuercas -> REVISION_MANUAL / QUALITY_TYPE_INCOHERENCE
S21,C2 calidad 10 en TORNILLO,"Tornillo DIN 933 M12x40, 10, zincado",10,M12x40,150,INCOHERENCIA analoga -> REVISION_MANUAL
S22,C3 HV en TORNILLO (no decidido),"Tornillo DIN 933 M10x30, 200HV",200HV,M10x30,60,AMBIGUEDAD NUEVA: las reglas no restringen HV a arandelas. Por la letra seria RESUELTA. Ver P-8
S23,D1 GALV. CALIENTE via HDG,"BOLT DIN 933 M16x60, 8.8, HDG",8.8,M16x60,80,GALVANIZADO EN CALIENTE
S24,D2 GALV. CALIENTE forma larga ES,"Tornillo DIN 931 M20x80, 8.8, galvanizado en caliente",8.8,M20x80,45,GALVANIZADO EN CALIENTE
S25,D3 GALV. CALIENTE alias EN,"HEX BOLT DIN 931 M12x50, 8.8, HOT DIP GALVANIZED",8.8,M12x50,90,GALVANIZADO EN CALIENTE
S26,D4 DACROMET,"Tornillo DIN 912 M8x30, 12.9, dacromet",12.9,M8x30,200,DACROMET
S27,D5 PAVONADO via BL + DIN 7991,"SCREW DIN 7991 M10x40, 10.9, BL",10.9,M10x40,120,"PAVONADO via alias 'BL' (alias corto, riesgo de falso negativo) / DIN 7991 -> ISO 10642"
S28,D6 PAVONADO via NEGRO,"Tornillo DIN 933 M10x30, 8.8, negro",8.8,M10x30,250,PAVONADO
S29,D7 FOSFATADO ES,"Tornillo DIN 933 M10x35, 8.8, fosfatado",8.8,M10x35,180,FOSFATADO
S30,D8 FOSFATADO alias EN,"BOLT DIN 931 M16x70, 8.8, PHOSPHATED",8.8,M16x70,70,FOSFATADO
S31,D9 BICROMATADO via YZP,"Tornillo DIN 933 M12x45, 8.8, YZP",8.8,M12x45,300,BICROMATADO
S32,D10 BICROMATADO forma larga,"HEX BOLT DIN 933 M10x40, 8.8, YELLOW ZINC PLATED",8.8,M10x40,220,BICROMATADO
S33,D11 CINCADO via ZP,"Tornillo DIN 931 M12x60, 8.8, ZP",8.8,M12x60,160,CINCADO via alias ZP
S34,D12 CINCADO forma canonica,"Tornillo DIN 933 M8x30, 8.8, cincado",8.8,M8x30,400,CINCADO
S35,E1 P-1 con HDG,"BOLT DIN 931 M16x70 with NUT DIN 934 and 2 WASHER DIN 125, 8.8, HDG",8.8,M16x70,100,3 lineas. P-1 decide si HDG alcanza a tuerca y arandelas. Cantidades 100/100/200
